ts=1404982930, bytes_sent=39799265, bytes_recv=39799265, packets_sent=138151, packets_recv=138151, errin=0, errout=0, dropin=0, dropout=0
ts=1404982935, bytes_sent=39800153, bytes_recv=39800153, packets_sent=138163, packets_recv=138163, errin=0, errout=0, dropin=0, dropout=0
ts=1404982940, bytes_sent=39800201, bytes_recv=39800201, packets_sent=138164, packets_recv=138164, errin=0, errout=0, dropin=0, dropout=0
ts=1404982945, bytes_sent=39801465, bytes_recv=39801465, packets_sent=138181, packets_recv=138181, errin=0, errout=0, dropin=0, dropout=0
ts=1404982950, bytes_sent=39801629, bytes_recv=39801629, packets_sent=138183, packets_recv=138183, errin=0, errout=0, dropin=0, dropout=0
ts=1404982955, bytes_sent=39802729, bytes_recv=39802729, packets_sent=138198, packets_recv=138198, errin=0, errout=0, dropin=0, dropout=0
ts=1404982960, bytes_sent=39802777, bytes_recv=39802777, packets_sent=138199, packets_recv=138199, errin=0, errout=0, dropin=0, dropout=0
ts=1404982965, bytes_sent=39803713, bytes_recv=39803713, packets_sent=138212, packets_recv=138212, errin=0, errout=0, dropin=0, dropout=0
ts=1404982970, bytes_sent=39803713, bytes_recv=39803713, packets_sent=138212, packets_recv=138212, errin=0, errout=0, dropin=0, dropout=0
ts=1404982975, bytes_sent=39804649, bytes_recv=39804649, packets_sent=138225, packets_recv=138225, errin=0, errout=0, dropin=0, dropout=0
ts=1404982980, bytes_sent=39804697, bytes_recv=39804697, packets_sent=138226, packets_recv=138226, errin=0, errout=0, dropin=0, dropout=0
ts=1404982985, bytes_sent=39805585, bytes_recv=39805585, packets_sent=138238, packets_recv=138238, errin=0, errout=0, dropin=0, dropout=0
ts=1404982990, bytes_sent=39805633, bytes_recv=39805633, packets_sent=138239, packets_recv=138239, errin=0, errout=0, dropin=0, dropout=0
ts=1404982995, bytes_sent=39806897, bytes_recv=39806897, packets_sent=138256, packets_recv=138256, errin=0, errout=0, dropin=0, dropout=0
ts=1404983000, bytes_sent=39807109, bytes_recv=39807109, packets_sent=138259, packets_recv=138259, errin=0, errout=0, dropin=0, dropout=0
ts=1404983005, bytes_sent=39808161, bytes_recv=39808161, packets_sent=138273, packets_recv=138273, errin=0, errout=0, dropin=0, dropout=0
